,inventory_id,film_id,title,length,category,special_features,rating,customer_id,customer_name,email,active,rental_id,rental_date,rental_weekday,rental_duration,rental_rate,amount
31,3832,839,STALLION SUNDANCE,130,Sci-Fi,"Deleted Scenes,Behind the Scenes",PG-13,230,JOY GEORGE,JOY.GEORGE@sakilacustomer.org,1,32,2005-May-25th,Wednesday,5,0.99,0.99
32,1681,367,GOLDMINE TYCOON,153,Sci-Fi,"Trailers,Behind the Scenes",R,272,KAY CALDWELL,KAY.CALDWELL@sakilacustomer.org,1,33,2005-May-25th,Wednesday,6,0.99,0.99
33,2613,573,MICROCOSMOS PARADISE,105,Children,Commentaries,PG-13,597,FREDDIE DUGGAN,FREDDIE.DUGGAN@sakilacustomer.org,1,34,2005-May-25th,Wednesday,6,2.99,2.99
34,1286,284,ENEMY ODDS,77,Music,Trailers,NC-17,484,ROBERTO VU,ROBERTO.VU@sakilacustomer.org,1,35,2005-May-25th,Wednesday,5,4.99,4.99
35,1308,288,ESCAPE METROPOLIS,167,Travel,Trailers,R,88,BONNIE HUGHES,BONNIE.HUGHES@sakilacustomer.org,1,36,2005-May-25th,Wednesday,7,2.99,2.99
36,403,89,BORROWERS BEDAZZLED,63,Animation,"Commentaries,Deleted Scenes,Behind the Scenes",G,535,JAVIER ELROD,JAVIER.ELROD@sakilacustomer.org,1,37,2005-May-25th,Wednesday,7,0.99,0.99
37,2540,557,MANCHURIAN CURTAIN,177,Family,"Trailers,Commentaries",PG,302,MICHAEL SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,1,38,2005-May-25th,Wednesday,5,2.99,4.99
38,4466,976,WIND PHANTOM,111,Games,"Commentaries,Deleted Scenes",R,207,GERTRUDE CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,1,39,2005-May-25th,Wednesday,6,0.99,0.99
39,2638,579,MINDS TRUMAN,149,Action,"Deleted Scenes,Behind the Scenes",PG-13,413,MARVIN YEE,MARVIN.YEE@sakilacustomer.org,1,40,2005-May-25th,Wednesday,3,4.99,4.99
40,1761,382,GRIT CLOCKWORK,137,Games,"Trailers,Deleted Scenes",PG,174,YVONNE WATKINS,YVONNE.WATKINS@sakilacustomer.org,1,41,2005-May-25th,Wednesday,3,0.99,5.99
41,380,84,BOILED DARES,102,Travel,"Trailers,Commentaries",PG,523,HARVEY GUAJARDO,HARVEY.GUAJARDO@sakilacustomer.org,1,42,2005-May-25th,Wednesday,7,4.99,4.99
42,2578,564,MASSAGE IMAGE,161,Animation,"Commentaries,Behind the Scenes",PG,532,NEIL RENNER,NEIL.RENNER@sakilacustomer.org,1,43,2005-May-25th,Wednesday,4,2.99,2.99
43,3098,681,PIRATES ROXANNE,100,Sports,"Commentaries,Deleted Scenes",PG,207,GERTRUDE CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,1,44,2005-May-25th,Wednesday,4,0.99,0.99
44,1853,403,HARRY IDAHO,121,Drama,"Commentaries,Deleted Scenes",PG-13,436,TROY QUIGLEY,TROY.QUIGLEY@sakilacustomer.org,1,45,2005-May-25th,Wednesday,5,4.99,7.99
45,3318,730,RIDGEMONT SUBMARINE,46,New,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,1,46,2005-May-25th,Wednesday,3,0.99,5.99
46,2211,478,JAWS HARRY,112,Comedy,Deleted Scenes,G,35,VIRGINIA GREEN,VIRGINIA.GREEN@sakilacustomer.org,1,47,2005-May-25th,Wednesday,4,2.99,3.99
47,1780,387,GUN BONNIE,100,Games,Behind the Scenes,G,282,JENNY CASTRO,JENNY.CASTRO@sakilacustomer.org,1,48,2005-May-25th,Wednesday,7,0.99,1.99
48,2965,650,PACIFIC AMISTAD,144,Documentary,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",G,498,GENE SANBORN,GENE.SANBORN@sakilacustomer.org,1,49,2005-May-25th,Wednesday,3,0.99,2.99
49,1983,432,HOPE TOOTSIE,139,Classics,"Trailers,Deleted Scenes,Behind the Scenes",NC-17,18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,1,50,2005-May-25th,Wednesday,4,2.99,2.99
50,1257,278,ELF MURDER,155,Music,"Trailers,Commentaries,Behind the Scenes",NC-17,256,MABEL HOLLAND,MABEL.HOLLAND@sakilacustomer.org,1,51,2005-May-25th,Wednesday,4,4.99,4.99
51,4017,875,TALENTED HOMICIDE,173,Sports,"Commentaries,Deleted Scenes,Behind the Scenes",PG,507,EDGAR RHOADS,EDGAR.RHOADS@sakilacustomer.org,1,52,2005-May-25th,Wednesday,6,0.99,0.99
52,1255,277,ELEPHANT TROJAN,126,Horror,Behind the Scenes,PG-13,569,DAVE GARDINER,DAVE.GARDINER@sakilacustomer.org,1,53,2005-May-25th,Wednesday,4,4.99,4.99
53,2787,611,MUSKETEERS WAIT,73,Classics,"Deleted Scenes,Behind the Scenes",PG,291,TONI HOLT,TONI.HOLT@sakilacustomer.org,1,54,2005-May-25th,Wednesday,7,4.99,4.99
54,1139,252,DREAM PICKUP,135,Action,"Trailers,Commentaries,Behind the Scenes",PG,131,MONICA HICKS,MONICA.HICKS@sakilacustomer.org,1,55,2005-May-25th,Wednesday,6,2.99,2.99
55,1352,298,EYES DRIVING,172,Sci-Fi,"Trailers,Commentaries",PG-13,511,CHESTER BENNER,CHESTER.BENNER@sakilacustomer.org,1,56,2005-May-25th,Wednesday,4,2.99,2.99
56,3938,858,SUBMARINE BED,127,Comedy,Trailers,R,6,JENNIFER DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,57,2005-May-25th,Wednesday,5,4.99,4.99
57,3050,670,PELICAN COMFORTS,48,Documentary,"Commentaries,Deleted Scenes",PG,323,MATTHEW MAHAN,MATTHEW.MAHAN@sakilacustomer.org,1,58,2005-May-25th,Wednesday,4,4.99,4.99
58,2884,633,OCTOBER SUBMARINE,54,Classics,"Trailers,Commentaries,Behind the Scenes",PG-13,408,MANUEL MURRELL,MANUEL.MURRELL@sakilacustomer.org,1,59,2005-May-25th,Wednesday,6,4.99,5.99
59,330,73,BINGO TALENTED,150,Sci-Fi,"Trailers,Commentaries",PG-13,470,GORDON ALLARD,GORDON.ALLARD@sakilacustomer.org,1,60,2005-May-25th,Wednesday,5,2.99,2.99
60,4210,915,TRUMAN CRAZY,92,Action,"Trailers,Commentaries",G,250,JO FOWLER,JO.FOWLER@sakilacustomer.org,1,61,2005-May-25th,Wednesday,7,4.99,5.99
61,261,58,BEACH HEARTBREAKERS,122,Documentary,"Deleted Scenes,Behind the Scenes",G,419,CHAD CARBONE,CHAD.CARBONE@sakilacustomer.org,1,62,2005-May-25th,Wednesday,6,2.99,2.99
62,4008,873,SWEETHEARTS SUSPECTS,108,Children,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",G,383,MARTIN BALES,MARTIN.BALES@sakilacustomer.org,1,63,2005-May-25th,Wednesday,3,0.99,0.99
63,79,16,ALLEY EVOLUTION,180,Foreign,"Trailers,Commentaries",NC-17,368,HARRY ARCE,HARRY.ARCE@sakilacustomer.org,0,64,2005-May-25th,Wednesday,6,2.99,5.99
64,3552,776,SECRET GROUNDHOG,90,Documentary,"Commentaries,Deleted Scenes",PG,346,ARTHUR SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,1,65,2005-May-25th,Wednesday,6,4.99,4.99
65,1162,257,DRUMLINE CYCLONE,110,Travel,"Commentaries,Deleted Scenes,Behind the Scenes",G,86,JACQUELINE LONG,JACQUELINE.LONG@sakilacustomer.org,1,66,2005-May-25th,Wednesday,3,0.99,1.99
66,239,54,BANGER PINOCCHIO,113,Music,"Trailers,Commentaries,Deleted Scenes",R,119,SHERRY MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1,67,2005-May-25th,Wednesday,5,0.99,0.99
67,4029,878,TEEN APOLLO,74,Travel,"Trailers,Deleted Scenes,Behind the Scenes",G,120,SYLVIA ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,1,68,2005-May-25th,Wednesday,3,4.99,7.99
68,3207,705,PURPLE MOVIE,88,Foreign,"Commentaries,Deleted Scenes",R,305,RICHARD MCCRARY,RICHARD.MCCRARY@sakilacustomer.org,1,69,2005-May-25th,Wednesday,4,2.99,2.99
69,2168,468,INVASION CYCLONE,97,Children,"Trailers,Deleted Scenes",PG,73,BEVERLY BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1,70,2005-May-25th,Wednesday,5,2.99,2.99
70,2408,525,LOATHING LEGALLY,140,Classics,Deleted Scenes,R,100,ROBIN HAYES,ROBIN.HAYES@sakilacustomer.org,1,71,2005-May-25th,Wednesday,4,0.99,0.99
71,2260,489,JUGGLER HARDLY,54,Animation,"Trailers,Commentaries",PG-13,48,ANN EVANS,ANN.EVANS@sakilacustomer.org,1,72,2005-May-25th,Wednesday,4,0.99,0.99
72,517,114,CAMELOT VACATION,61,Sci-Fi,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",NC-17,391,CLARENCE GAMEZ,CLARENCE.GAMEZ@sakilacustomer.org,1,73,2005-May-25th,Wednesday,3,0.99,4.99
73,1744,379,GREEDY ROOTS,166,Drama,"Trailers,Commentaries,Deleted Scenes",R,265,JENNIE TERRY,JENNIE.TERRY@sakilacustomer.org,1,74,2005-May-25th,Wednesday,7,0.99,0.99
74,3393,745,ROSES TREASURE,162,Sports,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,510,BEN EASTER,BEN.EASTER@sakilacustomer.org,0,75,2005-May-25th,Wednesday,5,4.99,8.99
75,3021,663,PATIENT SISTER,99,Classics,"Trailers,Commentaries",NC-17,1,MARY SMITH,MARY.SMITH@sakilacustomer.org,1,76,2005-May-25th,Wednesday,7,0.99,2.99
76,1303,287,ENTRAPMENT SATISFACTION,176,Action,"Commentaries,Deleted Scenes,Behind the Scenes",R,451,JIM REA,JIM.REA@sakilacustomer.org,1,77,2005-May-25th,Wednesday,5,0.99,0.99
77,4067,887,THIEF PELICAN,135,Animation,"Deleted Scenes,Behind the Scenes",PG-13,135,JUANITA MASON,JUANITA.MASON@sakilacustomer.org,1,78,2005-May-25th,Wednesday,5,4.99,5.99
78,3299,726,RESERVOIR ADAPTATION,61,Foreign,Commentaries,PG-13,245,COURTNEY DAY,COURTNEY.DAY@sakilacustomer.org,1,79,2005-May-25th,Wednesday,7,2.99,4.99
79,2478,543,MADIGAN DORADO,116,Travel,"Deleted Scenes,Behind the Scenes",R,314,GEORGE LINTON,GEORGE.LINTON@sakilacustomer.org,1,80,2005-May-25th,Wednesday,5,4.99,5.99
80,2610,572,METROPOLIS COMA,64,Sci-Fi,"Trailers,Commentaries,Behind the Scenes",PG-13,286,VELMA LUCAS,VELMA.LUCAS@sakilacustomer.org,1,81,2005-May-25th,Wednesday,4,2.99,6.99
81,1388,304,FARGO GANDHI,130,Children,Deleted Scenes,G,427,JESUS MCCARTNEY,JESUS.MCCARTNEY@sakilacustomer.org,1,82,2005-May-25th,Wednesday,3,2.99,6.99
82,466,103,BUCKET BROTHERHOOD,133,Travel,"Commentaries,Deleted Scenes",PG,131,MONICA HICKS,MONICA.HICKS@sakilacustomer.org,1,83,2005-May-25th,Wednesday,7,4.99,4.99
83,1829,397,HANKY OCTOBER,107,Sci-Fi,"Trailers,Commentaries,Deleted Scenes",NC-17,492,LESTER KRAUS,LESTER.KRAUS@sakilacustomer.org,1,84,2005-May-25th,Wednesday,5,2.99,2.99
84,470,103,BUCKET BROTHERHOOD,133,Travel,"Commentaries,Deleted Scenes",PG,414,VINCENT RALSTON,VINCENT.RALSTON@sakilacustomer.org,1,85,2005-May-25th,Wednesday,7,4.99,4.99
85,2275,491,JUMPING WRATH,74,Children,"Commentaries,Behind the Scenes",NC-17,266,NORA HERRERA,NORA.HERRERA@sakilacustomer.org,1,86,2005-May-25th,Wednesday,4,0.99,1.99
86,1586,348,GANDHI KWAI,86,Family,Trailers,PG-13,331,ERIC ROBERT,ERIC.ROBERT@sakilacustomer.org,1,87,2005-May-25th,Wednesday,7,0.99,0.99
87,2221,480,JEEPERS WEDDING,84,Classics,"Trailers,Commentaries,Deleted Scenes",R,53,HEATHER MORRIS,HEATHER.MORRIS@sakilacustomer.org,1,88,2005-May-25th,Wednesday,3,2.99,3.99
88,2181,471,ISLAND EXORCIST,84,Classics,"Trailers,Commentaries",NC-17,499,MARC OUTLAW,MARC.OUTLAW@sakilacustomer.org,1,89,2005-May-25th,Wednesday,7,2.99,2.99
89,2984,654,PANKY SUBMARINE,93,Games,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",G,25,DEBORAH WALKER,DEBORAH.WALKER@sakilacustomer.org,1,90,2005-May-25th,Wednesday,4,4.99,7.99
90,139,28,ANTHEM LUKE,91,Comedy,"Deleted Scenes,Behind the Scenes",PG-13,267,MARGIE WADE,MARGIE.WADE@sakilacustomer.org,1,91,2005-May-25th,Wednesday,5,4.99,6.99
91,775,169,COMFORTS RUSH,76,Travel,"Commentaries,Behind the Scenes",NC-17,302,MICHAEL SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,1,92,2005-May-25th,Wednesday,3,2.99,5.99
92,4360,951,VOYAGE LEGALLY,78,Classics,"Commentaries,Behind the Scenes",PG-13,288,BOBBIE CRAIG,BOBBIE.CRAIG@sakilacustomer.org,1,93,2005-May-25th,Wednesday,6,0.99,3.99
93,1675,366,GOLDFINGER SENSIBILITY,93,Drama,"Trailers,Commentaries,Behind the Scenes",G,197,SUE PETERS,SUE.PETERS@sakilacustomer.org,1,94,2005-May-25th,Wednesday,3,0.99,2.99
94,178,39,ARMAGEDDON LOST,99,Sci-Fi,Trailers,G,400,BRYAN HARDISON,BRYAN.HARDISON@sakilacustomer.org,1,95,2005-May-25th,Wednesday,5,0.99,3.99
95,3418,748,RUGRATS SHAKESPEARE,109,Action,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",PG-13,49,JOYCE EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,1,96,2005-May-25th,Wednesday,4,0.99,1.99
96,1283,284,ENEMY ODDS,77,Music,Trailers,NC-17,263,HILDA HOPKINS,HILDA.HOPKINS@sakilacustomer.org,1,97,2005-May-25th,Wednesday,5,4.99,4.99
97,2970,651,PACKER MADIGAN,84,Animation,Trailers,PG-13,269,CASSANDRA WALTERS,CASSANDRA.WALTERS@sakilacustomer.org,1,98,2005-May-25th,Wednesday,3,0.99,0.99
98,535,117,CANDLES GRAPES,135,Games,"Trailers,Deleted Scenes",NC-17,44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,1,99,2005-May-25th,Wednesday,6,4.99,4.99
99,2599,571,METAL ARMAGEDDON,161,Documentary,"Trailers,Commentaries,Deleted Scenes",PG-13,208,LUCY WHEELER,LUCY.WHEELER@sakilacustomer.org,1,100,2005-May-25th,Wednesday,6,2.99,4.99
100,617,134,CHAMPION FLATLINERS,51,Animation,Trailers,PG,468,TIM CARY,TIM.CARY@sakilacustomer.org,1,101,2005-May-25th,Wednesday,4,4.99,6.99
101,373,82,BLOOD ARGONAUTS,71,Family,"Trailers,Commentaries,Behind the Scenes",G,343,DOUGLAS GRAF,DOUGLAS.GRAF@sakilacustomer.org,1,102,2005-May-25th,Wednesday,3,0.99,3.99
102,3343,735,ROBBERS JOON,102,Children,Commentaries,PG-13,384,ERNEST STEPP,ERNEST.STEPP@sakilacustomer.org,1,103,2005-May-25th,Wednesday,7,2.99,4.99
103,4281,932,VALLEY PACKER,73,Comedy,"Commentaries,Deleted Scenes",G,310,DANIEL CABRAL,DANIEL.CABRAL@sakilacustomer.org,1,104,2005-May-25th,Wednesday,3,0.99,0.99
104,794,173,CONFESSIONS MAGUIRE,65,Drama,Behind the Scenes,PG-13,108,TRACY COLE,TRACY.COLE@sakilacustomer.org,1,105,2005-May-25th,Wednesday,7,4.99,4.99
105,3627,791,SHOW LORD,167,Documentary,Deleted Scenes,PG-13,196,ALMA AUSTIN,ALMA.AUSTIN@sakilacustomer.org,1,106,2005-May-25th,Wednesday,3,4.99,11.99
106,2833,621,NETWORK PEAK,75,Family,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,317,EDWARD BAUGH,EDWARD.BAUGH@sakilacustomer.org,1,107,2005-May-25th,Wednesday,5,2.99,6.99
107,3289,724,REMEMBER DIARY,110,Family,"Trailers,Commentaries",R,242,GLENDA FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,1,108,2005-May-25th,Wednesday,5,2.99,2.99
108,1044,233,DISCIPLE MOTHER,141,Travel,"Trailers,Deleted Scenes,Behind the Scenes",PG,503,ANGEL BARCLAY,ANGEL.BARCLAY@sakilacustomer.org,1,109,2005-May-25th,Wednesday,3,0.99,1.99
109,4108,893,TITANS JERK,91,Sci-Fi,Behind the Scenes,PG,19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,110,2005-May-25th,Wednesday,4,4.99,9.99
110,3725,814,SNATCH SLIPPER,110,Comedy,Commentaries,PG,227,COLLEEN BURTON,COLLEEN.BURTON@sakilacustomer.org,1,111,2005-May-25th,Wednesday,6,4.99,4.99
111,2153,465,INTERVIEW LIAISONS,59,New,"Commentaries,Behind the Scenes",R,500,REGINALD KINDER,REGINALD.KINDER@sakilacustomer.org,1,112,2005-May-25th,Wednesday,4,4.99,8.99
112,2963,649,OZ LIAISONS,85,Animation,"Commentaries,Deleted Scenes,Behind the Scenes",R,93,PHYLLIS FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1,113,2005-May-25th,Wednesday,4,2.99,2.99
113,4502,982,WOMEN DORADO,126,Action,"Deleted Scenes,Behind the Scenes",R,506,LESLIE SEWARD,LESLIE.SEWARD@sakilacustomer.org,1,114,2005-May-25th,Wednesday,4,0.99,3.99
114,749,164,COAST RAINBOW,55,Documentary,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",PG,455,JON WILES,JON.WILES@sakilacustomer.org,1,115,2005-May-25th,Wednesday,4,0.99,0.99
115,4453,973,WIFE TURN,183,Documentary,"Deleted Scenes,Behind the Scenes",NC-17,18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,1,116,2005-May-25th,Wednesday,3,4.99,4.99
116,4278,931,VALENTINE VANISHING,48,Travel,"Trailers,Behind the Scenes",PG-13,7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,1,117,2005-May-25th,Wednesday,7,0.99,0.99
117,872,191,CROOKED FROGMEN,143,Children,"Commentaries,Deleted Scenes,Behind the Scenes",PG-13,524,JARED ELY,JARED.ELY@sakilacustomer.org,1,118,2005-May-25th,Wednesday,6,0.99,0.99
118,1359,300,FALCON VOLUME,102,Animation,"Commentaries,Behind the Scenes",PG-13,51,ALICE STEWART,ALICE.STEWART@sakilacustomer.org,1,119,2005-May-25th,Wednesday,5,4.99,4.99
119,37,8,AIRPORT POLLOCK,54,Horror,Trailers,R,365,BRUCE SCHWARZ,BRUCE.SCHWARZ@sakilacustomer.org,1,120,2005-May-25th,Wednesday,6,4.99,5.99
120,1053,234,DISTURBING SCARFACE,94,Sci-Fi,"Trailers,Behind the Scenes",R,405,LEONARD SCHOFIELD,LEONARD.SCHOFIELD@sakilacustomer.org,1,121,2005-May-25th,Wednesday,6,2.99,2.99
121,2908,638,OPERATION OPERATION,156,Comedy,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",G,273,PRISCILLA LOWE,PRISCILLA.LOWE@sakilacustomer.org,1,122,2005-May-25th,Wednesday,7,2.99,3.99
122,1795,390,GUYS FALCON,84,Sci-Fi,"Trailers,Commentaries,Behind the Scenes",R,43,CHRISTINE ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1,123,2005-May-25th,Wednesday,4,4.99,4.99
123,212,48,BACKLASH UNDEFEATED,118,Children,"Trailers,Behind the Scenes",PG-13,246,MARIAN MENDOZA,MARIAN.MENDOZA@sakilacustomer.org,1,124,2005-May-25th,Wednesday,3,4.99,6.99
124,952,212,DARN FORRESTER,185,Action,Deleted Scenes,G,368,HARRY ARCE,HARRY.ARCE@sakilacustomer.org,0,125,2005-May-25th,Wednesday,7,4.99,5.99
125,2047,445,HYDE DOCTOR,100,Classics,"Trailers,Deleted Scenes",G,439,ALEXANDER FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,1,126,2005-May-25th,Wednesday,5,2.99,2.99
126,2026,440,HUNGER ROOF,105,Foreign,"Deleted Scenes,Behind the Scenes",G,94,NORMA GONZALES,NORMA.GONZALES@sakilacustomer.org,1,127,2005-May-25th,Wednesday,6,0.99,2.99
127,4322,941,VIDEOTAPE ARSENIC,145,Games,"Commentaries,Deleted Scenes,Behind the Scenes",NC-17,40,AMANDA CARTER,AMANDA.CARTER@sakilacustomer.org,1,128,2005-May-25th,Wednesday,4,4.99,4.99
128,4154,902,TRADING PINOCCHIO,170,Sports,"Trailers,Deleted Scenes,Behind the Scenes",PG,23,SARAH LEWIS,SARAH.LEWIS@sakilacustomer.org,1,129,2005-May-25th,Wednesday,6,4.99,8.99
