officeCode,officeRegion,officeCountry,officeState,officeCity,employeeFullName,jobTitle,lineManager,customerName,customerCountry,customerState,customerCity,creditLimit,orderNumber,orderDate,requiredDate,shippedDate,orderStatus,productName,productLine,productScale,productVendor,quantityInStock,quantityOrdered,COGS,invoicingPrice,MSRP
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1962 Volkswagen Microbus","Trucks and Buses",1:24,"Autoart Studio Design",2327,36,61.34,107.34,127.79
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1936 Chrysler Airflow","Vintage Cars",1:24,"Second Gear Diecast",4710,25,57.46,88.62,97.39
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1980’s GM Manhattan Express","Trucks and Buses",1:32,"Motor City Art Classics",5099,31,53.93,92.46,96.31
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",1:32,"Red Start Diecast",814,45,33.61,63.35,64.64
7,EMEA,UK,NULL,London,"Barry Jones","Sales Rep",1102,"Baane Mini Imports",Norway,NULL,Stavern,81700,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,"1982 Camaro Z28","Classic Cars",1:18,"Carousel DieCast Legends",6934,42,46.53,94.07,101.15
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1969 Corvair Monza","Classic Cars",1:18,"Welly Diecast Productions",6906,34,89.14,131.44,151.08
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1957 Chevy Pickup","Trucks and Buses",1:12,"Exoto Designs",6125,41,55.7,111.39,118.5
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1998 Chrysler Plymouth Prowler","Classic Cars",1:18,"Gearbox Collectibles",4724,24,101.51,135.9,163.73
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1964 Mercedes Tour Bus","Trucks and Buses",1:18,"Unimax Art Galleries",8258,29,74.86,122.73,122.73
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1992 Ferrari 360 Spider red","Classic Cars",1:18,"Unimax Art Galleries",8347,23,77.9,165.95,169.34
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1970 Triumph Spitfire","Classic Cars",1:18,"Min Lin Diecast",5545,38,91.92,119.2,143.62
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1970 Dodge Coronet","Classic Cars",1:24,"Highway 66 Mini Classics",4074,35,32.37,52.02,57.8
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1958 Chevy Corvette Limited Edition","Classic Cars",1:24,"Carousel DieCast Legends",2542,44,15.91,30.41,35.36
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1992 Porsche Cayenne Turbo Silver","Classic Cars",1:24,"Exoto Designs",6582,26,69.78,106.45,118.28
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1954 Greyhound Scenicruiser","Trucks and Buses",1:32,"Classic Metal Creations",2874,35,25.98,51.95,54.11
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1950's Chicago Surface Lines Streetcar",Trains,1:32,"Gearbox Collectibles",8601,49,26.72,56.55,62.14
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",1:50,"Highway 66 Mini Classics",1016,33,68.29,114.59,115.75
4,EMEA,France,NULL,Paris,"Gerard Hernandez","Sales Rep",1102,"Euro+ Shopping Channel",Spain,NULL,Madrid,227600,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,"1962 City of Detroit Streetcar",Trains,1:50,"Classic Metal Creations",1645,32,37.49,53.31,58.58
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"1972 Alfa Romeo GTA","Classic Cars",1:10,"Motor City Art Classics",3252,50,85.68,127.84,136
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"2001 Ferrari Enzo","Classic Cars",1:12,"Second Gear Diecast",3619,41,95.59,205.72,207.8
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"1969 Ford Falcon","Classic Cars",1:12,"Second Gear Diecast",1049,29,83.05,141.88,173.02
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"1903 Ford Model A","Vintage Cars",1:18,"Unimax Art Galleries",3913,22,68.3,136.59,136.59
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"Collectable Wooden Train",Trains,1:18,"Carousel DieCast Legends",6450,38,67.56,87.73,100.84
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"1904 Buick Runabout","Vintage Cars",1:18,"Exoto Designs",8290,41,52.66,75.48,87.77
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"18th century schooner",Ships,1:24,"Carousel DieCast Legends",1898,43,82.34,117.97,122.89
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"1912 Ford Model T Delivery Wagon","Vintage Cars",1:24,"Min Lin Diecast",9173,44,46.91,73.46,88.51
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"1940 Ford Delivery Sedan","Vintage Cars",1:24,"Carousel DieCast Legends",6621,50,48.64,75.47,83.86
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"The Schooner Bluenose",Ships,1:700,"Autoart Studio Design",1897,41,34,54,66.67
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"The Mayflower",Ships,1:700,"Studio M Art Models",737,29,43.3,86.61,86.61
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"The USS Constitution Ship",Ships,1:700,"Red Start Diecast",7083,31,33.97,60.72,72.28
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"The Titanic",Ships,1:700,"Carousel DieCast Legends",1956,39,51.09,92.16,100.17
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"The Queen Mary",Ships,1:700,"Welly Diecast Productions",5088,22,53.63,99.31,99.31
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Danish Wholesale Imports",Denmark,NULL,Kobenhavn,83400,10105,2003-02-11,2003-02-21,2003-02-12,Shipped,"Pont Yacht",Ships,1:72,"Unimax Art Galleries",414,25,33.3,44.77,54.6
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1980s Black Hawk Helicopter",Planes,1:18,"Red Start Diecast",5330,36,77.27,134.04,157.69
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"P-51-D Mustang",Planes,1:72,"Gearbox Collectibles",992,34,49,81.1,84.48
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1999 Yamaha Speed Boat",Ships,1:18,"Min Lin Diecast",4259,41,51.61,80.86,86.02
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",1:18,"Exoto Designs",2378,41,64.58,94.22,105.87
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1928 British Royal Navy Airplane",Planes,1:24,"Classic Metal Creations",3627,28,66.74,107.23,109.42
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1900s Vintage Bi-Plane",Planes,1:24,"Autoart Studio Design",5942,49,34.25,65.77,68.51
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1937 Horch 930V Limousine","Vintage Cars",1:24,"Autoart Studio Design",2902,31,26.3,55.89,65.75
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"Corsair F4U ( Bird Cage)",Planes,1:24,"Second Gear Diecast",6812,50,29.34,55.96,68.24
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1900s Vintage Tri-Plane",Planes,1:24,"Unimax Art Galleries",2756,26,36.23,71,72.45
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1928 Ford Phaeton Deluxe","Vintage Cars",1:32,"Highway 66 Mini Classics",136,33,33.02,65.35,68.79
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"1930 Buick Marquette Phaeton","Vintage Cars",1:50,"Studio M Art Models",7062,39,27.06,35.78,43.64
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"American Airlines: B767-300",Planes,1:700,"Min Lin Diecast",5841,31,51.15,91.34,91.34
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"HMS Bounty",Ships,1:700,"Unimax Art Galleries",3501,30,39.83,85.09,90.52
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"America West Airlines B757-200",Planes,1:700,"Motor City Art Classics",9653,34,68.8,99.72,99.72
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"ATA: B757-300",Planes,1:700,"Highway 66 Mini Classics",7106,32,59.33,113.9,118.65
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"F/A 18 Hornet 1/72",Planes,1:72,"Motor City Art Classics",551,44,54.4,76,80
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"American Airlines: MD-11S",Planes,1:700,"Second Gear Diecast",8820,48,36.27,70.33,74.03
4,EMEA,France,NULL,Paris,"Pamela Castillo","Sales Rep",1102,"Rovelli Gifts",Italy,NULL,Bergamo,119600,10106,2003-02-17,2003-02-24,2003-02-21,Shipped,"Boeing X-32A JSF",Planes,1:72,"Motor City Art Classics",4857,48,32.77,43.7,49.66
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"1969 Harley Davidson Ultimate Chopper",Motorcycles,1:10,"Min Lin Diecast",7933,30,48.81,81.35,95.7
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"1996 Moto Guzzi 1100i",Motorcycles,1:10,"Highway 66 Mini Classics",6625,39,68.99,105.86,118.94
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,1:10,"Red Start Diecast",5582,27,91.02,172.36,193.66
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"2002 Suzuki XREO",Motorcycles,1:12,"Unimax Art Galleries",9997,21,66.27,122,150.62
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"1936 Harley Davidson El Knucklehead",Motorcycles,1:18,"Welly Diecast Productions",4357,29,24.23,52.7,60.57
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"1997 BMW R 1100 S",Motorcycles,1:24,"Autoart Studio Design",7003,25,60.86,96.92,112.7
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"1960 BSA Gold Star DBD34",Motorcycles,1:24,"Highway 66 Mini Classics",15,38,37.32,73.12,76.17
3,NA,USA,NY,NYC,"George Vanauf","Sales Rep",1143,"Land of Toys Inc.",USA,NY,NYC,114900,10107,2003-02-24,2003-03-03,2003-02-26,Shipped,"1997 BMW F650 ST",Motorcycles,1:32,"Exoto Designs",178,20,66.92,88.9,99.89
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1968 Ford Mustang","Classic Cars",1:12,"Autoart Studio Design",68,33,95.34,165.38,194.57
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1968 Dodge Charger","Classic Cars",1:12,"Welly Diecast Productions",9123,45,75.16,96.3,117.44
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1970 Plymouth Hemi Cuda","Classic Cars",1:12,"Studio M Art Models",5663,39,31.92,75.81,79.8
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1969 Dodge Charger","Classic Cars",1:12,"Welly Diecast Productions",7323,36,58.73,107.1,115.16
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1948 Porsche 356-A Roadster","Classic Cars",1:18,"Gearbox Collectibles",8826,38,53.9,67.76,77
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1969 Dodge Super Bee","Classic Cars",1:18,"Min Lin Diecast",1917,26,49.05,73.17,80.41
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1976 Ford Gran Torino","Classic Cars",1:18,"Gearbox Collectibles",9127,29,73.49,132.29,146.99
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1957 Vespa GS150",Motorcycles,1:18,"Studio M Art Models",7689,43,32.95,52.84,62.17
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1957 Corvette Convertible","Classic Cars",1:18,"Classic Metal Creations",1249,44,69.93,139.87,148.8
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1982 Ducati 900 Monster",Motorcycles,1:24,"Highway 66 Mini Classics",6840,35,47.1,64.41,69.26
5,Japan,Japan,Chiyoda-Ku,Tokyo,"Mami Nishi","Sales Rep",1056,"Cruz & Sons Co.",Philippines,NULL,"Makati City",81500,10108,2003-03-03,2003-03-12,2003-03-08,Shipped,"1971 Alpine Renault 1600s","Classic Cars",1:24,"Welly Diecast Productions",7995,30,38.58,60.01,61.23
